"1","ALEZAN","ALEZAN"
"2","BAI","BAI"
"3","BAI F.","BAI FONCE"
"4","BAI BR","BAI BRUN"
"5","AL FON","ALEZAN FONCE"
"6","AL BRU","ALEZAN BRULE"
"7","INDET","INDETERMINE"
"8","GRIS","GRIS"
"9","BAI CL","BAI CLAIR"
"10","NOIR","NOIR"
"11","GR FON","GRIS FONCE"
"12","BAI R.","BAI RUBICAN"
"13","AUBERE","AUBERE"
"14","ALZMEL","ALEZAN MELANGE"
"15","BAIMEL","BAI MELANGE"
"16","ROUAN","ROUAN"
"17","BCE","BAI CERISE"
"18","BAI BF","BAI BRUN FONCE"
"19","AL CRL","ALEZAN CRIN LAVES"
"20","AL CUI","ALEZAN CUIVRE"
"21","BB/ALB","BAI BRUN OU AL BRULE"
